latitude,longitude,altitude,geometry,IndexName,Name,AddressName,Description,Hyperlink,ShopUsername
1.38552095472081,103.892992478692,0,Point,kml_492,Virogreen NECDC E-waste Recycling Programme for Non-regulated E-waste,COMPASSVALE ANCILLA RC 279B SENGKANG EAST AVE #01-545 542279,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.virogreen.net/,dispose492
1.38504391673194,103.899192644131,0,Point,kml_546,Virogreen NECDC E-waste Recycling Programme for Non-regulated E-waste,COMPASSVALE BEACON RC 211 COMPASSVALE LANE #01-218 543211,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.virogreen.net/,dispose546
1.36471192155156,103.892275863578,0,Point,kml_547,Virogreen NECDC E-waste Recycling Programme for Non-regulated E-waste,HOUGANG CC 35 HOUGANG AVENUE 3 538840,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.virogreen.net/,dispose547
1.350092212218,103.701211185996,0,Point,kml_600,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL JURONG WEST 21 JURONG WEST AVENUE 5 649481,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose600
1.36783749214661,103.844671565605,0,Point,kml_601,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL ANG MO KIO 3535 ANG MO KIO AVENUE 6 569839,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose601
1.43080204992238,103.833011169563,0,Point,kml_602,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL YISHUN 1 YISHUN STREET 11 768642,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose602
1.34762671975306,103.764888536618,0,Point,kml_603,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL BUKIT BATOK (AVE 6) 28 BUKIT BATOK EAST AVENUE 6 659760,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose603
1.34458352593094,103.864557912045,0,Point,kml_604,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL BRADDELL 110 BRADDELL ROAD 359914,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose604
1.34108764463634,103.848878825973,0,Point,kml_605,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL TOA PAYOH 248 TOA PAYOH LORONG 1 319755,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose605
1.31255297266314,103.926540994196,0,Point,kml_606,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL SIGLAP 40 UPPER EAST COAST ROAD 455212,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose606
1.31134294489212,103.843097938495,0,Point,kml_607,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL NEWTON 150 BUKIT TIMAH ROAD 229846,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose607
1.28993690957502,103.832409397284,0,Point,kml_608,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL HAVELOCK 548 HAVELOCK ROAD 169637,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose608
1.33178863597564,103.888725332826,0,Point,kml_609,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL PAYA LEBAR MACPHERSON 255 PAYA LEBAR ROAD 409037,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose609
1.28848416874691,103.819631175953,0,Point,kml_610,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL TIONG BAHRU 603 TIONG BAHRU ROAD 158788,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose610
1.36322447290969,103.867359768902,0,Point,kml_611,Shell-Metalo E-waste Recycling Programme for Non-regulated E-waste,SHELL SERANGOON GARDEN 49 SERANGOON GARDEN WAY 555944,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.facebook.com/metalosg/,dispose611
1.40233432541484,103.895564270016,0,Point,kml_612,Virogreen NECDC E-waste Recycling Programme for Non-regulated E-waste,MATILDA RN 217C SUMANG WALK #01-212 823217,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.virogreen.net/,dispose612
1.36835116091558,103.959369895642,0,Point,kml_613,Virogreen NECDC E-waste Recycling Programme for Non-regulated E-waste,PASIR RIS EAST CC 1 PARIS RIS DRIVE 519457,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.virogreen.net/,dispose613
1.39353867937052,103.91359511728,0,Point,kml_614,Virogreen NECDC E-waste Recycling Programme for Non-regulated E-waste,PUNGGOL 21 COMMUNITY CLUB 80 PUNGGOL FIELD #01-01 828815,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.virogreen.net/,dispose614
1.40889812588519,103.898297206583,0,Point,kml_615,Virogreen NECDC E-waste Recycling Programme for Non-regulated E-waste,PUNGGOL CASCADIA RN 316A PUNGGOL WAY #01-733 821316,"Bin collection; E-waste accepted: Non-regulated products only; E.g. Small household appliances, gaming consoles, audio systems, power supplies",https://www.virogreen.net/,dispose615
